%time,impatience,acquiescent,suppressed,resetted,aplicable,motivation (for the robot1/wander behaviour set)
0,5,0,0,0,0,0
4.9623936,5,0,0,0,0,0
9.95960064,5,0,0,0,0,0
14.95919616,5,0,0,0,0,0
19.9616512,5,0,0,0,0,0
24.96281088,5,0,0,0,0,0
29.96233472,5,0,0,0,0,0
34.96166144,5,0,0,0,0,0
39.95941632,5,0,0,0,0,0
44.96449536,5,0,0,0,0,0
49.96100864,5,0,0,0,0,0
54.94860544,5,0,0,0,0,0
59.96276992,5,0,0,0,0,0
64.95987712,5,0,0,0,0,0
69.9615232,5,0,0,0,0,0
74.96197120000001,5,0,0,0,0,0
79.96144896,5,0,0,0,0,0
84.95079680000001,5,0,0,0,0,0
89.94910976,5,0,0,0,0,0
94.94847744,5,0,0,0,0,0
99.94976512,5,0,0,0,0,0
104.9504128,5,0,0,0,0,0
109.95069952,5,0,0,0,0,0
114.94865152,5,0,0,0,0,0
119.94865664,5,0,0,0,0,0
124.94833664,5,0,0,0,0,0
129.94852352,5,0,0,0,0,0
134.94830592,5,0,0,0,0,0
139.94828032,5,0,0,0,0,0
144.94895616,5,0,0,0,0,0
149.948992,5,0,0,0,0,0
154.94923264,5,0,0,0,0,0
159.95403008,5,0,0,0,1,5
164.95703296,5,0,0,0,1,10
169.9548416,5,0,0,0,1,15
174.95452416,5,0,0,0,1,20
179.9613696,5,0,0,0,1,25
184.9631744,5,0,0,0,1,30
189.95586048,5,0,0,0,1,35
194.95203584,5,0,0,0,1,40
199.94908928,5,0,0,0,1,45
204.9521408,5,0,0,0,1,50
209.96073728,5,0,0,0,1,55
214.9609984,5,0,0,0,1,60
219.948736,5,0,0,0,1,65
224.95980032,5,0,0,0,1,70
229.96406528,5,0,0,0,1,75
234.979712,5,0,0,0,1,80
239.9605888,5,0,0,0,1,85
244.9522176,5,0,0,0,1,90
249.96250368,5,0,0,0,1,95
254.959936,5,0,0,0,1,100
259.9490688,5,0,0,0,1,105
264.96186624,5,0,0,0,1,110
269.9628544,5,0,0,0,1,115
274.96010752,5,0,0,0,1,120
279.95461888,5,0,0,0,1,125
284.96283136,5,0,0,0,1,130
289.96144128,5,0,0,0,1,135
294.95844352,5,0,0,0,1,140
299.94931456,5,0,0,0,1,145
304.95841792,5,0,0,0,1,150
310.0203136,5,0,0,0,1,155
314.96445696,5,0,0,0,1,160
319.9668864,5,0,0,0,1,165
324.95142656,5,0,0,0,1,170
329.9598592,5,0,0,0,1,175
334.96544512,5,0,0,0,1,180
339.95832064,5,0,0,0,1,185
344.98340864,5,0,0,0,1,190
349.97994752,5,0,0,0,1,195
354.95643904,5,0,0,0,1,200
359.95570944,5,0,0,0,1,205
364.96487168,5,0,0,0,1,210
369.96732928,5,0,0,0,1,215
374.96062976,5,0,0,0,1,220
379.96553472,5,0,0,0,1,225
384.9610496,5,0,0,0,1,230
389.9701248,5,0,0,0,1,235
394.9731968,5,0,0,0,1,240
399.95662848,5,0,0,0,1,245
404.9580416,5,0,0,0,1,250
409.96519424,5,0,0,0,1,255
414.96118784,5,0,0,0,1,260
419.96291584,5,0,0,0,1,265
424.96385024,5,0,0,0,1,270
